px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.4485	0.251375	-0.000719158	-2.14943e-17	1.73472e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000275966
8.47145	0.248799	-0.00552265	3.13602e-06	3.23669e-07	8.56759	0.241943	8.45	0.25	0	0	0.00157189
8.46434	0.250982	-0.00837325	-2.06111e-05	-2.93713e-06	8.45582	0.253997	8.45	0.25	0	0	0.00655125
8.3766	0.251326	-0.891872	0.00139898	0.00034783	8.42544	0.254042	8.35	0.25	-1.81979	0	0.593466
8.31269	0.250631	-0.912748	0.00314565	0.000760978	8.23962	0.24916	8.25	0.25	-1.81978	0	0.349873
8.10949	0.23467	-1.31104	0.181297	0.0547471	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	3.96836
8.01267	0.204196	-1.35665	0.290863	0.0832598	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.91347
7.82553	0.342799	-1.64059	-1.27112	-0.548378	7.61269	0.155818	7.7	0.15	-2.99982	0	2.06598
7.72041	0.283901	-1.69844	-0.585758	-0.286015	7.54016	0.159641	7.55	0.15	-2.99982	0	3.46729
7.58087	0.19881	-1.75262	0.116632	0.0958066	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0.424906
7.46008	0.138339	-1.75198	0.250109	0.108402	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	1.48064
7.31552	0.198592	-2.02821	-0.108174	-0.433423	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.216292
7.17794	0.114982	-2.04809	0.0759972	-0.276593	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	2.83579
7.06698	0.0431654	-2.01073	0.199493	-0.114574	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	0.0179917
6.94501	-0.0912927	-2.03453	0.424521	0.200701	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	2.57289
